ID,iq,wm
5492,110,12
308,107,10
3568,100,11
115,102,9
1152,102,9
939,111,10
4452,85,10
9604,93,10
5211,106,11
7520,81,8
5489,101,9
8015,119,10
4419,107,10
2699,83,8
4027,103,10
3384,109,9
8634,95,9
37,100,8
683,97,8
86,87,9
694,93,9
1556,104,8
5611,107,10
6921,104,9
2590,89,10
4467,89,10
2308,105,11
5218,95,11
2450,87,9
2555,116,9
5602,99,8
5091,91,10
4458,80,8
9528,92,10
7040,85,10
4236,92,9
9040,105,10
9022,104,9
9030,83,11
8616,100,9
4795,86,10
3615,98,9
9376,98,12
184,93,11
6894,95,9
3949,110,10
194,97,9
5121,111,8
6384,89,8
2229,83,9
4627,97,8
5349,112,10
1885,113,10
4410,107,10
480,95,11
1577,101,10
1700,92,12
5536,95,10
41,95,8
730,95,11
4565,96,10
5850,123,9
7152,95,11
6878,79,10
2045,96,10
7381,110,9
3750,94,9
1618,113,10
8689,99,10
6769,110,9
5056,94,7
4395,94,9
6947,107,11
7338,88,10
5190,111,11
8460,103,10
7364,98,10
2971,98,7
1509,91,9
3916,113,10
7283,112,9
9720,103,9
1525,105,9
5070,94,9
7387,107,9
4181,102,11
622,110,9
6029,96,10
6556,100,11
9349,89,8
6621,115,9
3370,87,10
2735,99,8
1986,104,11
3859,97,9
4140,101,9
132,110,11
9060,94,9
7276,93,10
7908,113,9
8726,102,9
5545,103,11
7122,101,9
5101,99,10
1942,99,9
2477,105,9
7212,83,10
6283,106,11
5083,103,11
7835,87,8
7811,91,10
4853,107,10
7831,103,11
7591,114,9
3197,103,11
5868,100,10
3921,110,10
778,101,11
3033,100,9
1574,76,10
4336,101,9
9267,101,9
1903,117,9
4209,106,10
9271,106,10
6210,80,9
3167,116,10
3373,95,10
6636,95,10
6874,90,9
1623,91,10
1055,95,9
4686,115,9
1933,101,9
3310,85,9
9119,109,8
7938,84,9
9468,99,8
2991,101,10
1520,99,10
2749,99,10
941,99,10
4403,106,10
3180,90,8
7051,100,8
3072,103,10
3459,88,11
8942,95,9
8439,113,11
2928,100,12
5540,107,10
8248,101,11
9290,102,10
2956,102,9
6610,103,9
5925,104,7
1278,111,7
4120,84,11
2933,117,9
9165,98,11
9903,93,9
9175,87,11
2814,95,10
8233,103,11
6391,100,9
7416,93,10
4975,95,9
3489,114,8
2868,83,9
8984,89,10
200,124,8
1811,99,11
172,117,9
1559,118,9
1612,93,9
2256,100,7
3481,102,9
8800,90,9
3612,100,9
2089,109,11
5067,94,10
4132,104,10
6028,107,10
2990,100,9
1185,85,9
1379,108,9
5054,108,9
6803,106,9
2297,97,9
8520,98,11
9194,92,10
5045,78,10
9392,98,10
783,90,11
4155,90,9
627,98,10
6042,94,11
5392,94,8
9916,103,7
8034,106,10
8871,94,10
8657,90,9
4338,103,10
3525,96,8
2529,102,11
459,97,8
7437,83,11
761,118,10
7594,96,10
5268,100,9
3676,97,10
6334,104,8
2915,102,9
8502,96,11
2374,96,10
5594,112,9
2024,96,8
9153,92,10
2367,95,10
2291,103,11
2434,104,10
4844,97,10
620,88,11
3876,99,11
8708,97,9
4996,82,11
3170,108,9
3809,79,8
483,91,11
8596,84,11
6952,90,9
2744,90,8
8236,104,10
9322,96,10
7556,98,10
6230,83,8
8619,93,8
6924,94,8
7985,92,11
8059,113,11
9778,93,10
6012,106,9
9475,111,11
3099,68,9
9384,103,10
7130,92,10
5642,94,11
6721,108,10
7140,82,10
3900,93,10
4891,97,10
8648,86,8
8047,104,10
9180,106,8
9736,90,8
1344,103,8
9472,115,10
3910,102,10
4948,97,9
2014,107,9
6417,94,9
6993,104,9
9527,95,9
6606,108,12
8344,99,12
7103,97,10
6480,104,10
5295,95,9
6948,94,9
7291,91,10
4849,106,10
6092,85,9
998,83,9
1844,99,10
7018,91,10
621,100,8
1617,99,9
2533,113,8
8524,89,9
6375,97,8
6889,100,9
3660,107,8
7735,102,8
473,113,8
9546,110,8
278,94,9
1929,73,10
4108,87,9
8011,91,10
562,90,10
3154,113,10
4956,87,8
4214,91,9
719,102,9
6842,99,8
6216,102,8
2762,102,9
637,107,9
5343,89,9
5668,120,9
7899,80,10
212,93,9
3825,102,8
145,97,9
4535,101,10
9394,116,11
5525,116,10
9176,86,10
9164,101,8
5311,104,10
2805,100,11
9825,92,6
4084,105,8
6910,105,11
9571,93,10
7372,90,12
5828,110,9
3307,97,9
5585,104,10
5533,86,8
2738,99,8
6631,86,9
4297,93,10
3171,119,10
9904,110,9
9725,95,10
7964,114,10
7901,100,10
9344,98,9
1997,96,8
7312,97,9
2906,100,9
5873,104,10
1451,89,9
678,93,8
6429,101,9
8103,91,9
2834,98,8
2393,104,8
3135,117,9
6043,103,11
6056,87,10
6016,104,9
1861,103,9
1866,103,10
6392,88,8
8815,98,10
2457,88,10
6459,83,11
3101,90,8
4150,95,9
4014,107,11
4169,103,8
2854,108,11
6848,99,9
9055,69,11
8827,97,11
7304,104,9
2059,98,9
6834,112,9
7554,117,9
4822,99,8
957,83,8
4257,108,9
3030,99,10
4695,107,10
3296,89,9
4527,91,8
7828,95,10
716,82,10
3788,87,9
1701,102,9
2538,101,11
48,103,10
8602,92,10
9642,101,8
5368,102,11
7920,94,7
772,89,11
5453,97,11
2930,87,10
4077,87,10
2350,80,9
9634,76,8
4427,102,10
9415,94,8
6326,84,10
9479,106,9
9471,98,11
9225,115,10
2870,99,9
3176,105,12
7733,99,9
445,99,10
3820,99,11
582,100,9
7593,83,10
2631,76,9
2480,84,10
9190,91,9
5266,98,11
7117,105,10
5197,103,9
6325,107,11
6090,97,11
4457,91,9
660,108,9
2043,85,11
7884,99,10
6294,97,9
3832,108,10
402,103,10
9793,96,10
6310,101,9
5503,94,10
8605,110,9
6190,94,10
3951,101,9
5737,88,9
7367,109,8
3113,120,10
5934,107,9
5791,88,9
1860,118,10
7240,104,11
7090,92,9
7623,93,11
9289,86,9
8537,116,9
7187,106,10
5366,103,10
9514,94,9
3425,89,8
1515,86,8
6082,92,9
4071,90,10
3193,86,8
4036,102,8
6623,98,8
5472,98,10
7968,105,11
8997,108,9
5759,101,11
6487,97,11
6338,97,10
6174,109,10
6166,102,9
2186,100,9
1994,100,9
6601,101,10
1847,97,10
6281,109,10
3562,121,10
335,90,9
6259,120,9
7352,82,9
3140,95,8
7093,89,9
8163,81,10
3785,94,9
1227,102,11
8258,94,10
6120,86,10
2321,120,11
1696,102,9
2404,125,11
2235,119,9
7420,101,10
8727,84,8
2265,94,9
2126,101,10
4192,90,10
1291,106,10
651,116,10
824,101,10
7930,85,8
5315,102,10
330,79,9
5699,97,10
1808,95,12
8198,116,10
135,85,10
617,106,10
551,105,9
4203,99,10
1396,95,8
2921,96,11
6766,92,10
7896,115,8
7195,106,9
3465,100,11
149,94,10
2610,106,10
8333,91,9
8517,89,10
4435,72,9
6758,110,10
5641,96,10
9890,92,10
810,97,9
4563,110,9
2873,98,10
8100,104,9
9327,106,8
5529,94,10
4696,84,9
2230,101,11
6071,102,10
5154,96,10
731,109,8
9422,97,12
6320,90,9
7984,103,11
424,104,9
7301,105,8
7738,92,9
4879,98,9
5447,89,11
5794,97,9
6583,109,9
8466,102,9
2496,96,8
1580,96,8
8117,89,8
858,104,10
1480,90,11
1576,99,9
282,103,10
2852,86,8
4187,90,10
4489,71,10
7210,68,10
7820,113,10
7452,106,9
1794,99,11
5236,106,9
526,104,10
2965,119,11
9523,93,8
653,108,9
2471,92,10
7563,108,9
2397,96,8
1167,105,10
8964,90,8
1324,103,10
9154,112,8
1149,115,10
6371,92,9
482,87,9
8124,111,7
8407,92,9
4278,104,12
461,94,10
5460,119,10
7798,104,10
7342,110,10
9216,90,9
5827,99,9
2591,105,8
5881,103,10
3476,93,7
9095,92,9
6032,115,11
5427,91,8
9202,97,10
321,110,9
7676,103,9
6108,98,8
2454,88,9
7730,81,11
8288,97,12
1632,103,10
7081,105,10
2021,81,9
176,114,10
3177,97,10
5922,102,10
2851,104,8
3736,109,8
1305,82,10
7086,105,11
7907,87,11
3774,111,9
2327,120,8
619,92,9
5040,101,11
2771,106,10
5695,122,10
3198,130,8
4307,96,10
3157,108,8
7347,87,9
3773,108,10
2838,99,10
3663,94,10
7126,109,10
1852,94,8
8016,107,9
2827,97,8
3654,99,10
9215,91,10
6545,109,10
5143,101,7
728,109,8
8948,98,8
5309,98,11
8361,117,9
3246,100,8
2073,106,8
5964,109,9
8661,125,9
5811,120,9
6665,93,11
2199,95,8
9632,99,9
6001,89,8
360,120,10
6784,98,9
6022,90,10
2588,104,9
9560,109,9
4722,107,9
1255,129,11
2022,106,9
30,105,11
8796,96,10
921,102,10
9263,102,11
7865,94,10
4277,116,8
6378,99,11
9997,117,9
7332,88,10
8043,103,11
9764,106,9
4340,99,9
9085,102,7
5092,105,10
9845,86,9
9787,108,9
2289,103,9
5746,90,11
3915,100,10
9029,113,10
431,93,12
735,105,11
3688,113,11
5908,109,9
5481,100,9
8555,92,10
3657,98,9
9697,112,11
6991,81,9
9172,97,9
2095,118,10
2225,80,11
4399,118,11
6811,102,9
3173,93,9
1272,105,11
2774,101,8
8533,97,9
6505,93,9
3721,106,11
382,99,9
1850,94,10
1784,107,10
4719,102,10
6048,79,11
107,115,11
3235,103,12
8377,95,11
6597,96,9
8464,94,9
3867,98,9
446,114,9
1289,94,10
759,85,11
2821,92,9
3529,128,9
4450,85,9
5777,99,10
4952,107,9
9535,99,10
6534,106,9
8259,97,8
7803,98,10
6397,107,10
5659,96,9
4440,93,7
7236,86,7
7148,94,10
2779,108,9
2154,97,10
5456,96,7
4960,87,10
912,114,9
3017,104,10
2665,101,8
8656,108,12
8784,90,11
866,101,8
606,94,11
6817,99,10
1294,109,10
2817,94,10
3143,92,8
813,93,10
5542,86,10
709,82,8
640,95,9
3535,110,9
5294,108,8
9120,87,8
4920,113,10
8899,85,7
806,74,12
777,89,11
9321,111,8
7771,104,10
917,94,10
727,109,9
4311,97,10
3670,107,10
5550,86,9
4941,103,10
1943,89,10
7697,111,10
2213,106,10
9675,115,9
830,93,9
4862,100,8
7464,109,9
181,97,8
6530,74,8
7016,103,9
2755,91,8
4400,105,10
5226,97,9
9649,92,10
8541,81,8
3152,92,8
6207,91,8
3141,89,9
262,107,9
2096,97,8
3672,103,8
9707,97,10
4638,90,9
7573,110,8
1239,114,10
8357,92,9
1505,94,12
3756,117,10
2517,106,11
4388,91,9
6195,127,10
3600,104,9
1475,97,9
9004,104,9
7013,91,8
1410,77,9
9723,109,11
1456,104,7
3136,112,9
5745,108,11
5858,76,7
499,110,10
6686,100,9
6988,99,11
2905,98,9
2157,92,9
2736,114,10
6795,117,9
3594,93,9
6699,101,9
5766,101,10
8971,110,8
4957,91,8
785,98,10
7932,105,12
1998,101,10
9174,107,8
781,104,10
2242,97,9
8316,109,9
8029,70,9
3132,97,8
6896,84,9
4016,104,7
150,77,9
5124,88,10
2204,101,8
1003,98,11
7009,87,10
8652,117,9
4966,88,10
1297,95,10
3751,104,10
9048,110,10
2049,98,10
22,96,9
332,68,9
1130,91,10
1589,99,9
1720,99,11
373,97,9
6619,107,9
2223,87,10
6372,104,10
2539,108,11
3268,90,9
7889,95,11
2338,96,11
9954,106,10
7945,92,9
1665,107,8
5196,105,9
1534,101,8
3183,98,10
958,119,9
2071,67,9
9946,97,11
3647,99,8
5786,116,10
6305,100,9
9333,105,9
5586,94,10
3842,86,10
6164,91,9
3881,106,10
8592,96,11
4818,95,10
5855,93,9
2280,81,10
8874,110,9
1571,99,10
6165,91,10
667,102,9
4899,98,9
432,95,11
9635,114,8
3871,117,9
9901,116,10
5581,93,10
3186,81,11
406,76,9
6788,113,9
7218,117,8
5118,106,10
3429,94,9
6885,87,7
4431,98,10
9682,97,9
4139,101,8
7463,102,8
8694,86,11
2031,114,8
1249,117,10
7178,115,9
3009,103,10
6289,99,10
2355,95,10
9274,105,10
62,88,8
1622,96,10
251,85,10
2800,115,10
6895,105,9
4131,90,8
4874,108,9
1845,97,10
2144,99,8
6039,104,10
183,103,8
4286,111,11
9193,109,9
8092,95,10
131,109,8
9930,103,10
6317,98,9
8719,95,7
9076,91,10
7579,80,9
2399,84,10
7036,86,11
4194,110,10
4295,100,9
5584,90,9
7886,93,9
9965,102,9
1467,86,10
6527,91,10
7705,96,8
3161,108,10
6855,109,9
1552,94,10
1082,94,10
4425,85,9
601,105,9
153,78,8
4422,102,9
7409,98,10
109,90,9
9341,117,10
39,100,8
196,98,11
3104,88,9
5320,86,10
892,100,7
4362,101,9
6433,106,11
1364,99,10
5452,101,10
4569,114,10
2889,95,11
8207,85,9
8906,101,11
2334,91,10
5463,111,9
4109,98,10
8901,108,8
5566,83,10
8937,89,10
2202,96,11
8142,115,11
9783,88,9
7211,95,10
584,91,9
4468,102,11
9396,112,11
2694,98,9
8125,89,9
7360,119,9
355,114,8
4628,89,10
5760,102,9
9554,98,10
2686,99,11
9544,103,9
9782,89,9
6431,113,10
5208,96,9
3593,98,8
9243,57,10
7939,98,10
1776,106,11
3240,97,9
9102,105,10
6771,114,10
2828,95,10
7024,91,10
2372,99,9
7366,120,9
3368,89,9
5156,87,12
7547,108,10
7032,85,10
97,110,10
1245,92,9
3898,85,10
3935,102,9
9000,93,8
1404,95,12
4794,100,11
6968,113,9
1220,80,11
3649,105,8
9249,93,8
5792,98,10
1712,98,8
5013,100,10
1934,116,8
7494,114,10
6249,96,9
4821,83,9
2460,91,10
6084,93,7
8903,115,12
72,104,9
8410,104,11
7354,95,9
2085,106,10
8749,113,9
5028,95,7
71,100,8
7482,91,12
691,119,10
1955,98,10
7823,98,9
8392,92,11
6696,120,10
4360,102,9
7882,86,8
6287,120,10
368,109,9
3438,105,10
2761,82,10
4031,98,10
3340,126,8
7265,90,10
2090,98,8
6483,92,8
3190,100,11
6411,85,11
7949,106,9
9183,104,7
8826,103,9
6038,94,9
5318,94,8
6951,79,9
3548,93,10
2128,97,9
6945,102,11
4171,95,10
7252,112,9
6274,100,11
9898,107,12
6268,92,9
7251,92,10
9316,96,10
2623,99,11
6316,96,9
9814,100,9
122,123,10
7400,102,9
5929,97,11
9278,109,8
8572,96,8
7135,97,8
5610,117,11
6976,105,9
9470,104,8
5552,86,9
6908,90,10
5241,98,9
8865,106,9
5763,102,9
784,89,9
3210,117,12
7286,123,10
595,88,10
8651,92,9
6585,96,10
8799,112,9
8379,87,11
5150,106,9
5033,90,10
2207,101,9
9337,91,10
1567,94,10
614,100,10
7072,91,10
5008,104,9
3491,87,9
1755,112,10
696,79,8
6528,91,10
4341,99,9
3727,110,10
7038,97,11
1982,109,9
5139,110,8
1240,83,7
740,82,9
9070,111,10
2160,104,9
6737,95,8
2618,89,9
9021,95,9
7849,89,12
3483,110,11
4859,107,9
1397,90,10
8873,89,10
7672,121,8
1437,93,10
4355,98,10
1145,99,11
8565,91,10
8847,108,10
9179,93,10
8345,94,10
7221,90,10
1117,111,9
3103,104,9
3131,109,9
630,129,10
99,83,9
356,86,9
9899,97,8
6851,80,7
2902,106,11
1805,103,8
7404,88,9
9987,89,10
701,106,8
3611,102,11
2752,98,8
7890,101,9
705,99,8
6143,80,9
316,98,10
8109,96,9
1655,108,11
4249,118,11
7256,88,9
8933,89,9
4213,113,10
8462,86,11
2419,97,10
6772,107,8
9708,66,9
2988,96,9
9098,92,8
5386,96,9
2216,106,10
8584,102,10
4551,104,9
1504,87,10
5637,100,8
9742,111,10
60,77,12
4129,88,8
6329,91,10
9891,111,9
4896,112,9
343,84,11
9256,98,9
7861,96,9
996,95,9
2318,103,11
7822,111,9
9602,115,8
3382,94,11
7060,106,11
8655,107,10
6523,119,7
462,106,9
1621,98,9
6284,87,9
1746,108,8
7021,99,9
6810,107,8
2058,119,9
5465,97,7
3775,95,11
8036,107,10
5927,97,10
6015,77,10
5686,120,8
9397,99,11
2963,95,11
675,96,9
8834,103,10
7853,110,9
1365,83,10
8600,118,10
8027,95,9
555,89,9
8400,83,9
9459,115,8
7979,85,8
4705,102,9
8032,92,10
7898,87,10
2304,106,11
7064,110,10
6997,96,9
3250,94,10
8588,94,10
409,96,9
6297,86,9
2403,95,10
8891,106,8
2069,98,10
7721,106,10
1871,100,11
598,108,9
9600,97,10
9587,98,9
1855,114,12
8313,111,9
3123,98,9
2046,116,11
6075,101,12
3046,96,11
1472,92,9
1296,91,9
7099,102,10
3738,107,10
3388,107,9
4097,102,10
5547,101,10
1426,111,11
8367,106,11
3105,111,9
3746,105,9
4564,97,9
8821,100,9
5104,109,8
6646,82,11
1423,98,12
479,84,11
8475,90,10
2923,110,10
9210,89,11
7002,112,10
7005,99,9
3087,97,11
7349,115,7
3445,97,11
2795,100,9
2509,103,9
7935,108,9
9269,100,10
7558,101,9
1964,105,9
2250,96,11
9452,110,8
324,103,10
1269,95,10
5664,95,8
8852,103,8
1202,94,11
9367,89,9
3480,105,9
8145,101,9
6861,80,7
7548,103,11
1476,95,8
1256,107,10
9922,110,10
144,87,10
8269,101,10
2953,106,11
869,84,9
1703,114,10
1195,115,8
6073,73,9
8257,96,11
8902,86,10
7936,107,11
8567,98,10
1773,90,11
9450,92,9
1771,90,8
471,89,10
5555,83,7
5840,90,10
8306,100,7
8905,106,9
1562,115,9
2042,88,8
9790,97,9
4877,116,7
5111,99,11
8857,96,11
488,80,7
9091,118,11
638,104,11
1341,94,10
9902,101,10
9351,105,9
503,103,10
8284,107,10
7074,98,9
3510,91,9
5649,112,9
5559,94,12
5053,110,8
3280,99,8
7365,96,9
2387,88,9
7628,118,8
2615,116,9
5531,124,9
7677,103,11
7124,88,9
2326,118,11
502,105,9
6659,86,9
8120,101,10
1629,102,8
1360,116,10
1429,112,9
3243,97,10
7922,122,9
9268,99,10
1173,93,9
4302,94,9
7997,112,10
1139,98,9
3938,96,10
7910,106,9
2264,104,9
8244,105,11
4860,90,10
3249,99,12
3532,93,10
569,94,10
1936,94,9
2574,116,10
4006,113,10
6493,134,11
5501,88,10
5826,109,11
7362,99,8
2977,112,10
9508,83,10
3431,102,9
9365,93,8
4742,93,10
4290,82,7
9466,96,10
718,90,8
4567,104,8
5599,104,10
8909,97,9
2619,101,12
5713,101,9
5798,111,9
3836,101,11
444,103,11
5670,113,10
9440,104,11
9435,99,11
5854,114,9
3779,105,9
9616,97,9
6112,93,10
4547,111,11
2382,116,10
3443,112,9
6598,88,11
1246,90,8
9138,95,12
6961,113,10
3013,104,10
8148,103,8
5682,110,9
6850,103,10
8482,88,10
9143,104,8
9569,95,9
4982,102,9
6877,80,9
2143,102,10
8024,114,9
1887,108,9
5471,102,12
2791,97,11
5148,90,10
9195,103,10
1464,99,9
7503,105,9
1028,111,9
607,110,10
9028,95,10
3520,110,10
73,101,10
4317,95,11
416,91,9
5705,102,11
1133,109,10
8579,95,8
9171,92,9
4740,107,9
9395,92,10
3620,96,10
3863,91,11
4385,115,9
649,98,12
4911,102,9
1853,92,11
2378,106,10
5287,103,12
9651,98,9
4793,106,11
259,113,8
1750,103,9
2064,100,9
8613,83,8
3273,99,9
6773,99,10
6731,105,9
9517,90,9
8452,113,11
5370,109,9
2849,89,7
542,94,9
1756,94,11
7353,98,10
9375,109,11
9226,97,10
1285,102,10
4810,79,10
2895,99,9
688,98,11
5274,98,9
992,91,8
8817,103,8
1330,93,9
674,84,11
5726,109,9
6913,112,10
4331,94,9
5169,112,10
4562,97,8
1166,91,11
1180,99,10
613,100,10
1710,102,8
6995,99,9
7793,94,8
2830,115,9
633,80,10
793,110,9
5416,105,10
9921,115,10
4710,95,10
5758,110,9
1461,99,10
2243,100,10
1952,106,9
8542,98,9
9864,100,9
7813,98,9
5836,89,9
8312,104,10
4207,112,10
1468,108,9
7621,95,9
2542,107,7
1760,94,9
6787,97,9
9008,104,10
9564,123,10
9258,104,8
4940,96,9
2373,105,10
8014,101,8
1488,96,10
7863,90,9
1326,85,10
4439,89,7
3578,99,10
5515,122,10
9646,102,10
1053,103,9
9542,116,9
1775,94,10
550,114,11
4351,116,9
6582,94,10
4041,114,8
3698,95,8
2593,94,8
3461,95,11
1033,89,10
7082,86,9
1631,101,9
1730,81,9
2981,113,9
9701,102,8
6318,112,10
5781,98,9
6152,87,9
3646,93,10
8370,98,10
3840,103,10
7941,93,9
1980,107,10
9935,102,9
884,85,9
8798,90,9
387,100,10
5271,104,11
7874,110,9
5385,101,9
7351,79,9
4067,103,10
9662,102,10
8697,101,9
4894,107,11
2458,104,8
877,104,10
2742,90,9
1275,109,8
1007,96,10
9866,95,9
2332,96,9
337,106,9
3994,107,7
5744,103,9
8995,101,9
3787,88,10
4256,105,11
7601,97,9
2880,89,9
4022,100,7
9419,99,11
8710,115,9
5756,115,10
4596,98,10
7386,89,12
6087,95,9
3038,110,8
7526,99,9
5007,91,9
9806,93,10
4666,104,9
2,108,8
7719,103,7
1752,103,10
4827,112,10
1666,97,9
5570,97,10
3977,95,9
8851,102,8
290,106,8
4193,87,12
5329,94,9
2284,105,8
3394,102,10
8137,98,8
2465,96,8
2747,109,11
4743,102,10
1233,101,11
4992,86,10
4651,97,9
8947,104,11
3870,92,9
2947,101,10
8558,85,10
6767,87,9
